,name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,ant,1.7,org.apache.tools.ant.AntClassLoader,56,2,2,51,169,1200,37,16,35,0.848863636,1842,0.875,2,0.409638554,0.155844156,1,5,31.60714286,14,2.1964,6
1,ant,1.7,org.apache.tools.ant.AntTypeDefinition,21,1,2,14,47,124,10,4,18,0.7,575,0.857142857,0,0.0,0.325396825,0,0,26.04761905,10,2.619,0
2,ant,1.7,org.apache.tools.ant.BuildEvent,11,2,0,17,15,13,15,3,11,0.75,97,1.0,3,0.2,0.220779221,0,0,7.272727273,1,0.7273,0
3,ant,1.7,org.apache.tools.ant.BuildException,15,4,3,499,30,0,498,1,15,0.392857143,153,1.0,1,0.619047619,0.322222222,1,3,9.066666667,2,0.6667,0
4,ant,1.7,org.apache.tools.ant.BuildListener,7,1,0,16,7,21,15,1,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
5,ant,1.7,org.apache.tools.ant.BuildLogger,4,1,0,6,4,6,5,1,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
6,ant,1.7,org.apache.tools.ant.ComponentHelper,39,1,0,26,154,449,13,16,26,0.878446115,1711,0.714285714,3,0.0,0.178947368,0,0,42.33333333,13,2.5641,0
7,ant,1.7,org.apache.tools.ant.DefaultLogger,18,1,4,14,42,113,7,7,12,0.890756303,356,0.857142857,0,0.0,0.268907563,0,0,18.38888889,11,1.7778,3
8,ant,1.7,org.apache.tools.ant.DemuxInputStream,3,2,0,2,5,0,1,1,3,0.0,34,1.0,1,0.818181818,0.5,1,2,10.0,1,0.6667,0
9,ant,1.7,org.apache.tools.ant.DemuxOutputStream,10,2,0,3,30,27,1,2,5,0.761904762,245,1.0,1,0.357142857,0.283333333,1,1,22.8,2,1.0,0
10,ant,1.7,org.apache.tools.ant.Diagnostics,30,1,0,10,104,429,2,9,5,1.013793103,1038,0.8,0,0.0,0.108333333,0,0,33.26666667,9,1.9,3
11,ant,1.7,org.apache.tools.ant.DirectoryScanner,63,1,2,61,144,1603,51,10,31,0.874288425,2303,1.0,2,0.0,0.213709677,0,0,35.01587302,35,3.2381,3
12,ant,1.7,org.apache.tools.ant.dispatch.Dispatchable,1,1,0,2,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
13,ant,1.7,org.apache.tools.ant.dispatch.DispatchTask,4,3,1,3,5,4,1,2,4,0.666666667,17,1.0,0,0.925,0.625,0,0,3.0,1,0.75,0
14,ant,1.7,org.apache.tools.ant.dispatch.DispatchUtils,2,1,0,6,23,1,3,4,2,2.0,265,0.0,0,0.0,0.5,0,0,131.5,1,0.5,0
15,ant,1.7,org.apache.tools.ant.DynamicAttribute,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
16,ant,1.7,org.apache.tools.ant.DynamicAttributeNS,1,1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
17,ant,1.7,org.apache.tools.ant.DynamicConfigurator,0,1,0,4,0,0,2,2,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
18,ant,1.7,org.apache.tools.ant.DynamicConfiguratorNS,0,1,0,3,0,0,1,2,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
19,ant,1.7,org.apache.tools.ant.DynamicElement,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
20,ant,1.7,org.apache.tools.ant.DynamicElementNS,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
21,ant,1.7,org.apache.tools.ant.Executor,2,1,0,4,2,1,3,2,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
22,ant,1.7,org.apache.tools.ant.ExitException,3,5,0,3,7,0,3,0,3,0.0,27,1.0,0,0.928571429,0.666666667,0,0,7.666666667,1,0.3333,0
23,ant,1.7,org.apache.tools.ant.ExitStatusException,4,5,0,5,7,0,3,2,4,0.0,29,1.0,0,0.954545455,0.625,0,0,6.0,1,0.25,0
24,ant,1.7,org.apache.tools.ant.FileScanner,14,1,0,5,14,91,5,0,14,2.0,14,0.0,0,0.0,0.271428571,0,0,0.0,1,1.0,0
25,ant,1.7,org.apache.tools.ant.filters.BaseFilterReader,10,3,6,9,20,21,7,2,5,0.814814815,146,1.0,1,0.692307692,0.228571429,1,2,13.3,1,0.8,0
26,ant,1.7,org.apache.tools.ant.filters.BaseParamFilterReader,4,4,12,15,7,4,12,3,3,0.666666667,22,1.0,1,0.928571429,0.5,0,0,4.25,1,0.5,0
27,ant,1.7,org.apache.tools.ant.filters.ChainableReader,1,1,0,23,1,0,23,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
28,ant,1.7,org.apache.tools.ant.filters.ClassConstants,4,4,0,4,20,0,1,3,4,0.777777778,162,0.666666667,0,0.928571429,0.75,2,4,38.75,1,0.5,0
29,ant,1.7,org.apache.tools.ant.filters.ConcatFilter,9,5,0,4,28,12,0,4,8,0.5,217,1.0,0,0.8,0.481481481,2,5,22.66666667,1,0.7778,0
30,ant,1.7,org.apache.tools.ant.filters.EscapeUnicode,5,5,0,3,19,4,1,2,4,0.25,107,1.0,0,0.903225806,0.7,2,5,20.2,1,0.6,0
31,ant,1.7,org.apache.tools.ant.filters.ExpandProperties,4,4,0,4,13,0,1,3,4,0.0,87,1.0,0,0.928571429,0.75,2,4,20.5,1,0.5,0
32,ant,1.7,org.apache.tools.ant.filters.FixCrLfFilter,18,5,0,14,44,77,2,12,16,0.713235294,331,1.0,3,0.636363636,0.240740741,2,8,16.94444444,6,1.4444,0
33,ant,1.7,org.apache.tools.ant.filters.HeadFilter,10,5,0,5,25,0,1,4,6,0.703703704,251,1.0,1,0.777777778,0.375,2,4,23.2,5,1.6,0
34,ant,1.7,org.apache.tools.ant.filters.LineContains,10,5,0,6,29,0,1,5,7,0.688888889,212,1.0,0,0.777777778,0.3,2,5,19.7,5,1.2,0
35,ant,1.7,org.apache.tools.ant.filters.LineContainsRegExp,10,5,0,7,32,0,1,6,7,0.688888889,221,1.0,0,0.777777778,0.3,2,5,20.6,5,1.2,0
36,ant,1.7,org.apache.tools.ant.filters.PrefixLines,7,5,0,4,23,0,1,3,5,0.555555556,150,1.0,0,0.848484848,0.476190476,2,5,20.0,4,1.1429,0
37,ant,1.7,org.apache.tools.ant.filters.ReplaceTokens,14,5,0,7,49,7,1,6,7,0.735042735,488,1.0,0,0.7,0.25,2,5,33.21428571,12,1.7857,1
38,ant,1.7,org.apache.tools.ant.filters.StringInputStream,2,3,0,1,5,1,0,1,2,2.0,17,0.0,0,1.0,1.0,0,0,7.5,0,0.0,0
39,ant,1.7,org.apache.tools.ant.filters.StripJavaComments,4,4,0,3,7,0,1,2,4,0.0,161,1.0,0,0.928571429,0.75,2,4,38.5,1,0.5,0
40,ant,1.7,org.apache.tools.ant.filters.StripLineBreaks,7,5,0,4,17,0,1,3,5,0.777777778,107,1.0,0,0.848484848,0.476190476,2,5,13.85714286,5,1.2857,0
41,ant,1.7,org.apache.tools.ant.filters.StripLineComments,8,5,0,5,26,0,1,4,5,0.571428571,172,1.0,0,0.823529412,0.375,2,5,20.125,4,1.125,0
42,ant,1.7,org.apache.tools.ant.filters.TabsToSpaces,7,5,0,4,18,0,1,3,5,0.708333333,126,1.0,0,0.848484848,0.476190476,2,5,16.42857143,5,1.2857,0
43,ant,1.7,org.apache.tools.ant.filters.TailFilter,10,5,0,5,30,0,1,4,6,0.688888889,328,1.0,1,0.777777778,0.375,2,5,30.8,12,2.3,0
44,ant,1.7,org.apache.tools.ant.filters.TokenFilter,19,4,0,19,41,23,5,17,19,0.688888889,319,1.0,1,0.604651163,0.119298246,2,4,15.52631579,6,1.2105,0
45,ant,1.7,org.apache.tools.ant.filters.util.ChainReaderHelper,9,1,0,17,39,10,6,11,8,0.875,353,0.25,1,0.0,0.277777778,0,0,37.33333333,3,1.1111,1
46,ant,1.7,org.apache.tools.ant.filters.util.JavaClassHelper,3,1,0,4,19,1,0,4,2,0.5,89,1.0,0,0.0,0.5,0,0,28.33333333,1,0.3333,0
47,ant,1.7,org.apache.tools.ant.helper.AntXMLContext,28,1,0,11,52,282,7,4,28,0.919753086,300,1.0,3,0.0,0.13961039,0,0,9.285714286,3,1.2857,0
48,ant,1.7,org.apache.tools.ant.helper.DefaultExecutor,4,1,0,4,8,4,0,4,3,0.666666667,45,1.0,1,0.0,0.555555556,0,0,10.0,1,0.5,0
49,ant,1.7,org.apache.tools.ant.helper.ProjectHelper2,17,2,0,17,85,74,7,16,4,0.7875,461,1.0,5,0.53125,0.15625,1,1,25.82352941,1,0.8824,1
50,ant,1.7,org.apache.tools.ant.helper.ProjectHelperImpl,15,2,0,18,66,77,9,13,2,0.87755102,315,1.0,3,0.566666667,0.222222222,1,1,19.53333333,2,0.9333,0
51,ant,1.7,org.apache.tools.ant.helper.SingleCheckExecutor,3,1,0,4,7,3,1,3,3,2.0,17,0.0,0,0.0,0.555555556,0,0,4.666666667,1,0.6667,0
52,ant,1.7,org.apache.tools.ant.input.DefaultInputHandler,4,1,1,8,26,6,4,4,2,2.0,152,0.0,0,0.0,0.75,0,0,37.0,7,2.25,0
53,ant,1.7,org.apache.tools.ant.input.GreedyInputHandler,2,2,0,6,20,1,1,5,2,2.0,80,1.0,0,0.75,0.75,1,1,38.5,1,0.5,0
54,ant,1.7,org.apache.tools.ant.input.InputHandler,1,1,0,10,1,0,8,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
55,ant,1.7,org.apache.tools.ant.input.InputRequest,7,1,1,6,9,15,6,0,7,0.833333333,42,1.0,0,0.0,0.714285714,0,0,4.571428571,1,0.8571,0
56,ant,1.7,org.apache.tools.ant.input.MultipleChoiceInputRequest,3,2,0,3,10,0,2,1,3,0.0,44,1.0,0,0.75,0.555555556,1,1,13.33333333,4,1.6667,0
57,ant,1.7,org.apache.tools.ant.input.PropertyFileInputHandler,3,1,0,4,19,0,1,3,2,0.75,101,0.5,0,0.0,0.666666667,0,0,32.0,1,0.6667,0
58,ant,1.7,org.apache.tools.ant.IntrospectionHelper,35,1,0,32,120,417,20,28,24,0.927893738,2098,0.387096774,0,0.0,0.290441176,0,0,58.05714286,19,2.5143,4
59,ant,1.7,org.apache.tools.ant.launch.AntMain,1,1,0,2,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
60,ant,1.7,org.apache.tools.ant.launch.Launcher,9,1,0,5,57,34,2,3,2,1.083333333,566,0.222222222,0,0.0,0.303571429,0,0,60.88888889,2,0.8889,1
61,ant,1.7,org.apache.tools.ant.launch.LaunchException,1,3,0,1,2,0,1,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
62,ant,1.7,org.apache.tools.ant.launch.Locator,11,1,0,8,75,53,7,1,9,0.825,968,0.5,0,0.0,0.183333333,0,0,86.27272727,17,3.1818,4
63,ant,1.7,org.apache.tools.ant.listener.AnsiColorLogger,3,2,0,1,17,0,0,1,1,0.96875,251,1.0,0,0.888888889,0.5,1,3,77.33333333,11,5.3333,0
